Date,Close,Signal,Portfolio Value,Rise/Fall,Stocks Held,Cash in Hand,Stock
2022-03-16,560.5997314453125,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-17,564.613037109375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-21,577.4852294921875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-22,580.911376953125,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-23,595.5944213867188,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-24,608.8091430664062,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-25,609.5432739257812,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-28,616.8848266601562,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-29,617.9615478515625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-30,587.1271362304688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-31,557.4673461914062,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-01,558.4462280273438,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-04,575.0870361328125,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-05,574.4507446289062,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-06,568.9690551757812,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-07,562.6063842773438,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-08,569.45849609375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-11,564.172607421875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-12,530.8909912109375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-13,535.197998046875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-18,533.8275756835938,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-19,529.3737182617188,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-20,533.4849853515625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-21,528.8353881835938,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-22,503.2868347167969,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-25,485.0308532714844,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-26,483.0242004394531,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-04-27,481.8984375,1,169840.52,0.0,100,121650.67,HINDALCO.NS_portfolio
2022-04-28,478.2766418457031,0,169478.34,-362.18,100,121650.67,HINDALCO.NS_portfolio
2022-04-29,472.4523315429688,0,168895.91,-582.43,100,121650.67,HINDALCO.NS_portfolio
2022-05-02,474.1653747558594,0,169067.21,171.3,100,121650.67,HINDALCO.NS_portfolio
2022-05-04,451.8960266113281,0,166840.28,-2226.93,100,121650.67,HINDALCO.NS_portfolio
2022-05-05,451.8470764160156,0,166835.38,-4.9,100,121650.67,HINDALCO.NS_portfolio
2022-05-06,434.3742065429688,0,165088.1,-1747.29,100,121650.67,HINDALCO.NS_portfolio
2022-05-09,434.71685791015625,0,165122.36,34.27,100,121650.67,HINDALCO.NS_portfolio
2022-05-10,414.0626525878906,0,163056.94,-2065.42,100,121650.67,HINDALCO.NS_portfolio
2022-05-11,413.6221618652344,0,163012.89,-44.05,100,121650.67,HINDALCO.NS_portfolio
2022-05-12,397.2750244140625,0,161378.18,-1634.71,100,121650.67,HINDALCO.NS_portfolio
2022-05-13,379.8021545410156,1,159630.89,-1747.29,200,83670.46,HINDALCO.NS_portfolio
2022-05-16,382.6898193359375,0,160208.42,577.53,200,83670.46,HINDALCO.NS_portfolio
2022-05-17,419.34857177734375,0,167540.17,7331.75,200,83670.46,HINDALCO.NS_portfolio
2022-05-18,426.8858947753906,0,169047.64,1507.46,200,83670.46,HINDALCO.NS_portfolio
2022-05-19,408.1894226074219,0,165308.34,-3739.29,200,83670.46,HINDALCO.NS_portfolio
2022-05-20,420.0337524414063,0,167677.21,2368.87,200,83670.46,HINDALCO.NS_portfolio
2022-05-23,404.4207763671875,0,164554.61,-3122.6,200,83670.46,HINDALCO.NS_portfolio
2022-05-24,392.3316955566406,0,162136.8,-2417.82,200,83670.46,HINDALCO.NS_portfolio
2022-05-25,388.4651489257813,1,161363.49,-773.31,300,44823.94,HINDALCO.NS_portfolio
2022-05-26,399.2327270507813,0,164593.76,3230.27,300,44823.94,HINDALCO.NS_portfolio
2022-05-27,400.5052795410156,0,164975.53,381.77,300,44823.94,HINDALCO.NS_portfolio
2022-05-30,407.9447326660156,0,167207.36,2231.84,300,44823.94,HINDALCO.NS_portfolio
2022-05-31,413.6221618652344,0,168910.59,1703.23,300,44823.94,HINDALCO.NS_portfolio
2022-06-01,401.9736022949219,0,165416.02,-3494.57,300,44823.94,HINDALCO.NS_portfolio
2022-06-02,401.2394714355469,0,165195.79,-220.24,300,44823.94,HINDALCO.NS_portfolio
2022-06-03,398.156005859375,0,164270.75,-925.04,300,44823.94,HINDALCO.NS_portfolio
2022-06-06,400.5052795410156,0,164975.53,704.78,300,44823.94,HINDALCO.NS_portfolio
2022-06-07,395.6598815917969,0,163521.91,-1453.62,300,44823.94,HINDALCO.NS_portfolio
2022-06-08,394.97467041015625,0,163316.35,-205.56,300,44823.94,HINDALCO.NS_portfolio
2022-06-09,391.3039245605469,0,162215.12,-1101.22,300,44823.94,HINDALCO.NS_portfolio
2022-06-10,377.5997009277344,0,158103.85,-4111.27,300,44823.94,HINDALCO.NS_portfolio
2022-06-13,358.7074890136719,0,152436.19,-5667.66,300,44823.94,HINDALCO.NS_portfolio
2022-06-14,350.7296447753906,0,150042.84,-2393.35,300,44823.94,HINDALCO.NS_portfolio
2022-06-15,349.94659423828125,0,149807.92,-234.92,300,44823.94,HINDALCO.NS_portfolio
2022-06-16,328.9987487792969,0,143523.57,-6284.35,300,44823.94,HINDALCO.NS_portfolio
2022-06-17,326.6494445800781,0,142818.78,-704.79,300,44823.94,HINDALCO.NS_portfolio
2022-06-20,314.7071838378906,1,139236.1,-3582.68,400,13353.23,HINDALCO.NS_portfolio
2022-06-21,332.0821533203125,0,146186.09,6949.99,400,13353.23,HINDALCO.NS_portfolio
2022-06-22,309.763916015625,0,137258.79,-8927.29,400,13353.23,HINDALCO.NS_portfolio
2022-06-23,310.8896179199219,1,137709.07,450.28,400,13353.23,HINDALCO.NS_portfolio
2022-06-24,315.49029541015625,0,139549.34,1840.27,400,13353.23,HINDALCO.NS_portfolio
2022-06-27,322.9786682128906,0,142544.69,2995.35,400,13353.23,HINDALCO.NS_portfolio
2022-06-28,336.29132080078125,0,147869.75,5325.06,400,13353.23,HINDALCO.NS_portfolio
2022-06-29,336.87860107421875,0,148104.67,234.91,400,13353.23,HINDALCO.NS_portfolio
2022-06-30,331.4948425292969,0,145951.16,-2153.5,400,13353.23,HINDALCO.NS_portfolio
2022-07-01,333.9420166015625,0,146930.03,978.87,400,13353.23,HINDALCO.NS_portfolio
2022-07-04,333.3057556152344,0,146675.53,-254.5,400,13353.23,HINDALCO.NS_portfolio
2022-07-05,337.95538330078125,0,148535.38,1859.85,400,13353.23,HINDALCO.NS_portfolio
2022-07-06,333.7462463378906,0,146851.72,-1683.65,400,13353.23,HINDALCO.NS_portfolio
2022-07-07,354.0089111328125,0,154956.79,8105.07,400,13353.23,HINDALCO.NS_portfolio
2022-07-08,349.9955139160156,0,153351.43,-1605.36,400,13353.23,HINDALCO.NS_portfolio
2022-07-11,348.674072265625,0,152822.85,-528.58,400,13353.23,HINDALCO.NS_portfolio
2022-07-12,339.5705261230469,0,149181.44,-3641.42,400,13353.23,HINDALCO.NS_portfolio
2022-07-13,341.5282897949219,0,149964.54,783.11,400,13353.23,HINDALCO.NS_portfolio
2022-07-14,341.7240295410156,0,150042.84,78.3,400,13353.23,HINDALCO.NS_portfolio
2022-07-15,343.1434020996094,0,150610.59,567.75,400,13353.23,HINDALCO.NS_portfolio
2022-07-18,359.3437194824219,0,157090.71,6480.13,400,13353.23,HINDALCO.NS_portfolio
2022-07-19,360.17578125,0,157423.54,332.82,400,13353.23,HINDALCO.NS_portfolio
2022-07-20,361.5462036132813,0,157971.71,548.17,400,13353.23,HINDALCO.NS_portfolio
2022-07-21,368.00677490234375,0,160555.94,2584.23,400,13353.23,HINDALCO.NS_portfolio
2022-07-22,373.19476318359375,0,162631.13,2075.2,400,13353.23,HINDALCO.NS_portfolio
2022-07-25,378.8722229003906,0,164902.11,2270.98,400,13353.23,HINDALCO.NS_portfolio
2022-07-26,373.8310241699219,0,162885.64,-2016.48,400,13353.23,HINDALCO.NS_portfolio
2022-07-27,380.43841552734375,0,165528.59,2642.96,400,13353.23,HINDALCO.NS_portfolio
2022-07-28,384.1091918945313,0,166996.9,1468.31,400,13353.23,HINDALCO.NS_portfolio
2022-07-29,406.2806396484375,0,175865.48,8868.58,400,13353.23,HINDALCO.NS_portfolio
